"","Trinidad and Tobago","Thailand","United Republic of Tanzania","China, Taiwan Province of","Turkmenistan","Syrian Arab Republic","Switzerland","Sweden","Eswatini","Suriname","Sudan (former)","Spain","South Africa","Singapore","Slovakia","Slovenia","Sierra Leone","Saudi Arabia","Serbia and Montenegro","Russian Federation","Romania","Zimbabwe","Qatar","Portugal","Poland","Philippines","Peru","Paraguay","Papua New Guinea","Czechia","Panama","Norway","Niger","Nicaragua","New Zealand","The former Yugoslav Republic of Macedonia","New Caledonia","Netherlands Antilles (former)","Netherlands","Nepal","Republic of Moldova","Micronesia (Federated States of)","Mozambique","Morocco","Mexico","Mauritius","Malta","Maldives","Malaysia","Malawi","Madagascar","China, Macao SAR","Lithuania","Libya","Lebanon","Lao People's Democratic Republic","Latvia","Kuwait","Republic of Korea","Democratic People's Republic of Korea","Cambodia","Kenya","Kyrgyzstan","Jordan","Japan","Jamaica","Kazakhstan","Côte d'Ivoire","Italy","Israel","Ireland","Iraq","Iran (Islamic Republic of)","Indonesia","India","Iceland","Croatia","Hungary","China, Hong Kong SAR","Honduras","Guatemala","Guam","Greece","Ghana","Bosnia and Herzegovina","Germany","Gabon","French Polynesia","France","Finland","Fiji","Faroe Islands","Estonia","El Salvador","Egypt","Ecuador","Dominican Republic","Denmark","Azerbaijan","Cyprus","Cuba","Costa Rica","Congo","Colombia","China, mainland","Chile","Sri Lanka","Cayman Islands","Cabo Verde","Canada","Cameroon","Myanmar","Bulgaria","Brunei Darussalam","Belize","Brazil","Bolivia (Plurinational State of)","Bermuda","Bangladesh","Barbados","Austria","Australia","Argentina","Angola","Algeria","Albania","Afghanistan"
"Singapore","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","     0.000","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","   0.000","  0.0000","0","    0.00","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
"Slovakia","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","     0.000","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","   0.000","  0.0000","0","    0.00","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
"Slovenia","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","     0.000","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","   0.000","  0.0000","0","    0.00","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
"Sierra Leone","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","     0.000","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","   0.000","  0.0000","0","    0.00","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
"Saudi Arabia","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","     0.000","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","   0.000","  0.0000","0","    0.00","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
"Serbia and Montenegro","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","     0.000","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","   0.000","  0.0000","0","    0.00","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
"Russian Federation","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","     0.000","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","   0.000","  0.0000","0","    0.00","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
"Romania","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","304775.415","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","3294.222","  0.0000","0","    0.00","0","141292.16928"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","   29.947471"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
"Zimbabwe","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","     0.000","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","   0.000","  0.0000","0","    0.00","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
"Qatar","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","     0.000","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","   0.000","  0.0000","0","    0.00","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
"Portugal","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","     0.000","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","   0.000","  0.0000","0","    0.00","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
"Poland","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","     0.000","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","   0.000","  0.0000","0","    0.00","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
"Philippines","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","     0.000","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","   0.000","  0.0000","0","    0.00","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
"Peru","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","     0.000","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","   0.000","  0.0000","0","    0.00","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
"Paraguay","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","     0.000","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","   0.000","  0.0000","0","    0.00","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
"Papua New Guinea","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","     0.000","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","   0.000","  0.0000","0","    0.00","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
"Czechia","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","     0.000","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","   0.000","  0.0000","0","    0.00","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
"Panama","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","     0.000","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","   0.000","  0.0000","0","    0.00","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
"Norway","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","     0.000","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","   0.000","  0.0000","0","    0.00","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
"Niger","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","     0.000","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","   0.000","  0.0000","0","    0.00","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
"Nicaragua","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","     0.000","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","   0.000","  0.0000","0","    0.00","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
"New Zealand","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","     0.000","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","   0.000","  0.0000","0","    0.00","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
"The former Yugoslav Republic of Macedonia","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","     0.000","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","   0.000","  0.0000","0","    0.00","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
"New Caledonia","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","     0.000","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","   0.000","  0.0000","0","    0.00","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
