"","Viet Nam","Venezuela (Bolivarian Republic of)","Uzbekistan","Uruguay","United States of America","Ukraine","United Kingdom","Uganda","United Arab Emirates","Turkey","Trinidad and Tobago","Thailand","United Republic of Tanzania","China, Taiwan Province of","Syrian Arab Republic","Switzerland","Sweden","Eswatini","Sudan (former)","Spain","South Africa","Singapore","Slovakia","Slovenia","Sierra Leone","Saudi Arabia","Serbia and Montenegro","Russian Federation","Romania","Zimbabwe","Qatar","Portugal","Poland","Philippines","Peru","Paraguay","Papua New Guinea","Czechia","Panama","Norway","Nicaragua","New Zealand","The former Yugoslav Republic of Macedonia","New Caledonia","Netherlands Antilles (former)","Netherlands","Nepal","Republic of Moldova","Mozambique","Morocco","Mexico","Mauritius","Mauritania","Malta","Maldives","Malaysia","Malawi","Madagascar","China, Macao SAR","Lithuania","Libya","Lebanon","Lao People's Democratic Republic","Latvia","Kuwait","Republic of Korea","Democratic People's Republic of Korea","Cambodia","Kenya","Kyrgyzstan","Jordan","Japan","Jamaica","Kazakhstan","C??te d'Ivoire","Italy","Israel","Ireland","Iraq","Iran (Islamic Republic of)","Indonesia","India","Iceland","Croatia","Hungary","China, Hong Kong SAR","Honduras","Guatemala","Guam","Greece","Ghana","Bosnia and Herzegovina","Germany","Gabon","French Polynesia","France","Finland","Fiji","Estonia","El Salvador","Egypt","Ecuador","Denmark","Azerbaijan","Cyprus","Cuba","Costa Rica","Colombia","China, mainland","Chile","Sri Lanka","Cayman Islands","Cabo Verde","Canada","Myanmar","Bulgaria","Brunei Darussalam","Belize","Aruba","Brazil","Bolivia (Plurinational State of)","Bangladesh","Barbados","Bahamas","Austria","Australia","Argentina","Angola","Algeria","Albania","Afghanistan"
"Latvia","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"Kuwait","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"Republic of Korea","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"Democratic People's Republic of Korea","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"Cambodia","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"Kenya","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"Kyrgyzstan","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"Jordan","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"Japan","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"Jamaica","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"Kazakhstan","     0.0","0","1.937937","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.01901492","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"C??te d'Ivoire","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"Italy","     0.0","0","0.000000","   0.000","    442.6700"," 0.00000","78153.39295","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","1615.7456"," 2545.352645","0","0"," 5533.375","    0.0000","0.000000","730.405542","3474.96","0","    0.00","   0.000","0","309.86902","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","486.937028","0"," 0.00000","0","0","0","  509.0705","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","1173.075567","    0.00","0","0","      0.00","0"," 8809.134","0","0","1.046251e+05","0","0","2.952609e+04","0.000000","0","0","0","     0.0","0","77467.254408","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","38290.95718","  0.0000","22.1335","    0.00","619.738","    0.00","0"
"Israel","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"Ireland","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"Iraq","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"Iran (Islamic Republic of)","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"Indonesia","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"India","153094.9","0","0.000000","   0.000","    678.8679"," 0.00000","   54.30943","0","   23.76038","    64.49245","0","   278.3358","0","   240.9981","    0.00","   0.0000","    3.394339","0","0","    0.000","  101.8302","3.394339","  0.000000","   0.00","0","27959.17","   0.000","0","  0.00000","     0.0","3.394339","0.000000e+00"," 0.00000","   57.70377","    0.00","   0.000","0","0","0","  0.000000","0","10.18302","0","0","0","    0.0000","3519.93"," 0.00000","   0.000","    0.00"," 0.00000","132.3792","0","0","3.394339","   50.91509","    0.00","   0.000","0","0","0","    0.00","0","0","57.70377","79318.92","0","0","6.788679","0.00000000","   0.000","41505.98","0"," 0.00000","   0.000","    0.000","    0.00","0","37337.73","220995.3","108707.11"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","3.394339e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","458.2358","0","0","  0.0000","0","0","0","0","0","0","0","2715.471","0","0","    0.00000","122.1962"," 0.0000","    0.00","  0.000","    0.00","0"
"Iceland","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"Croatia","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"Hungary","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00"," 126.1045","    0.000000","0","0","    0.000","    0.0000","0.000000","  3.362786","   0.00","0","    0.00","1300.838","0"," 12.89068","     0.0","0.000000","0.000000e+00","49.32086","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00","16.25347","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   8.967429","    0.00","0","0","      0.00","0","    0.000","0","0","3.362786e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","  322.26699","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"China, Hong Kong SAR","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
