"","Belgium","Unspecified Area","Zambia","Democratic Republic of the Congo","British Virgin Islands","Ethiopia","Viet Nam","Venezuela (Bolivarian Republic of)","Uzbekistan","Uruguay","United States of America","Ukraine","United Kingdom","Uganda","United Arab Emirates","Turkey","Trinidad and Tobago","Tonga","Thailand","United Republic of Tanzania","China, Taiwan Province of","Turkmenistan","Syrian Arab Republic","Switzerland","Sweden","Eswatini","Suriname","Sudan (former)","Spain","South Africa","Singapore","Slovakia","Slovenia","Sierra Leone","Saudi Arabia","Sao Tome and Principe","Saint Helena, Ascension and Tristan da Cunha","Serbia and Montenegro","Russian Federation","Romania","Zimbabwe","Qatar","Guinea-Bissau","Portugal","Poland","Philippines","Peru","Paraguay","Papua New Guinea","Czechia","Panama","Norway","Niger","Nicaragua","New Zealand","The former Yugoslav Republic of Macedonia","New Caledonia","Netherlands Antilles (former)","Netherlands","Nepal","Republic of Moldova","Micronesia (Federated States of)","Mozambique","Morocco","Mongolia","Mexico","Mauritius","Mauritania","Malta","Maldives","Malaysia","Malawi","Madagascar","China, Macao SAR","Lithuania","Libya","Lebanon","Lao People's Democratic Republic","Latvia","Kuwait","Republic of Korea","Democratic People's Republic of Korea","Cambodia","Kenya","Kyrgyzstan","Jordan","Japan","Jamaica","Kazakhstan","C??te d'Ivoire","Italy","Israel","Ireland","Iraq","Iran (Islamic Republic of)","Indonesia","India","Iceland","Croatia","Hungary","China, Hong Kong SAR","Honduras","Guatemala","Guam","Greece","Ghana","Bosnia and Herzegovina","Germany","Gabon","French Polynesia","France","Finland","Fiji","Faroe Islands","Estonia","El Salvador","Egypt","Ecuador","Dominican Republic","Denmark","Azerbaijan","Cyprus","Cuba","Costa Rica","Congo","Colombia","China, mainland","Chile","Sri Lanka","Cayman Islands","Cabo Verde","Canada","Cameroon","Myanmar","Bulgaria","Brunei Darussalam","Solomon Islands","Belize","Aruba","Brazil","Bolivia (Plurinational State of)","Bermuda","Bangladesh","Barbados","Bahamas","Austria","Australia","Argentina","Angola","Algeria","Albania","Afghanistan"
"Serbia and Montenegro","    0.0000","    0.000","0","  0.0000","0","0","    0.0","0","0","  0.0000","     0.00000"," 0.00000","     0.00000","0","   0.000","      0.00","0","0","     0.00","0","    0.0"," 0.00000","    0.00","    0.0000","   0.0000","0","0","0","    0.0000","    0.00","    0.00"," 0.00000"," 0.00000","0","    0.0000","0","0","     0.000","0.000000e+00","   0.000000","0","0","0","     0.00000","   0.000","   0.000","    0.00","0","0","  0.000000","0","0.000000","0","0","0","0","0","0","0.000000e+00"," 0.00000","0","0","  0.0000","0.000000","0","0"," 0.0000","0.00000","    0.00","0","     0.000","0","0","0","0","0","0","0","0","0","    0.00","0","0","    0.0","0","    0.00","    0.00","0","      0","0","     0.00000","     0.00","     0.000","0","0","     0.00","0","0","     0.000","   0.000","0","0","     0.0","0","0.000000e+00","0","0","    0.0000","    0.00","0","      0.000","0.000000","0","0","0","    0.00","    0.000","0","0","  0.000000","0","   0.000","0","    0.00","0","   0.000","      0","    0.00","  0.0000","0","0","0","0","0","     0.0","0","0","0","0","  0.0000","0.000000","0","0","0.000000","0","    0.000","0","0","   0.000","0","   0.00000","0"
"Russian Federation","    0.0000","    0.000","0","  0.0000","0","0","    0.0","0","0","  0.0000","     0.00000"," 0.00000","     0.00000","0","   0.000","      0.00","0","0","     0.00","0","    0.0"," 0.00000","    0.00","    0.0000","   0.0000","0","0","0","    0.0000","    0.00","    0.00"," 0.00000"," 0.00000","0","    0.0000","0","0","     0.000","0.000000e+00","   0.000000","0","0","0","     0.00000","   0.000","   0.000","    0.00","0","0","  0.000000","0","0.000000","0","0","0","0","0","0","0.000000e+00"," 0.00000","0","0","  0.0000","0.000000","0","0"," 0.0000","0.00000","    0.00","0","     0.000","0","0","0","0","0","0","0","0","0","    0.00","0","0","    0.0","0","    0.00","    0.00","0","      0","0","     0.00000","     0.00","     0.000","0","0","     0.00","0","0","     0.000","   0.000","0","0","     0.0","0","0.000000e+00","0","0","    0.0000","    0.00","0","      0.000","0.000000","0","0","0","    0.00","    0.000","0","0","  0.000000","0","   0.000","0","    0.00","0","   0.000","      0","    0.00","  0.0000","0","0","0","0","0","     0.0","0","0","0","0","  0.0000","0.000000","0","0","0.000000","0","    0.000","0","0","   0.000","0","   0.00000","0"
"Romania","    0.0000","    0.000","0","  0.0000","0","0","    0.0","0","0","  0.0000","     0.00000"," 0.00000","     0.00000","0","   0.000","1346675.63","0","0","     0.00","0","    0.0"," 0.00000","    0.00","    0.0000","   0.0000","0","0","0","    0.0000","    0.00","    0.00"," 0.00000"," 0.00000","0","    0.0000","0","0","414060.959","0.000000e+00","   0.000000","0","0","0","     0.00000","   0.000","   0.000","    0.00","0","0","  0.000000","0","0.000000","0","0","0","0","0","0","0.000000e+00"," 0.00000","0","0","  0.0000","0.000000","0","0"," 0.0000","0.00000","    0.00","0","     0.000","0","0","0","0","0","0","0","0","0","    0.00","0","0","    0.0","0","    0.00","    0.00","0","      0","0","179862.36380","459498.45","     0.000","0","0","     0.00","0","0","579631.411","   0.000","0","0","     0.0","0","0.000000e+00","0","0","    0.0000","    0.00","0","      0.000","0.000000","0","0","0","    0.00","    0.000","0","0","  0.000000","0","   0.000","0","    0.00","0","   0.000","      0","    0.00","  0.0000","0","0","0","0","0","380892.9","0","0","0","0","  0.0000","0.000000","0","0","0.000000","0","    0.000","0","0","   0.000","0","   0.00000","0"
"Zimbabwe","    0.0000","54942.651","0","  0.0000","0","0","    0.0","0","0","  0.0000","     0.00000"," 0.00000","     0.00000","0","   0.000","      0.00","0","0","     0.00","0","    0.0"," 0.00000","    0.00","    0.0000","   0.0000","0","0","0","    0.0000","    0.00","    0.00"," 0.00000"," 0.00000","0","    0.0000","0","0","     0.000","0.000000e+00","   0.000000","0","0","0","     0.00000","   0.000","   0.000","    0.00","0","0","  0.000000","0","0.000000","0","0","0","0","0","0","0.000000e+00"," 0.00000","0","0","  0.0000","0.000000","0","0"," 0.0000","0.00000","    0.00","0","     0.000","0","0","0","0","0","0","0","0","0","    0.00","0","0","    0.0","0","    0.00","    0.00","0","      0","0","     0.00000","     0.00","     0.000","0","0","     0.00","0","0","     0.000","   0.000","0","0","     0.0","0","0.000000e+00","0","0","    0.0000","    0.00","0","      0.000","0.000000","0","0","0","    0.00","    0.000","0","0","  0.000000","0","   0.000","0","    0.00","0","   0.000","      0","    0.00","  0.0000","0","0","0","0","0","     0.0","0","0","0","0","  0.0000","0.000000","0","0","0.000000","0","    0.000","0","0","   0.000","0","   0.00000","0"
"Qatar","    0.0000","    0.000","0","  0.0000","0","0","    0.0","0","0","  0.0000","     0.00000"," 0.00000","     0.00000","0","   0.000","      0.00","0","0","     0.00","0","    0.0"," 0.00000","    0.00","    0.0000","   0.0000","0","0","0","    0.0000","    0.00","    0.00"," 0.00000"," 0.00000","0","    0.0000","0","0","     0.000","0.000000e+00","   0.000000","0","0","0","     0.00000","   0.000","   0.000","    0.00","0","0","  0.000000","0","0.000000","0","0","0","0","0","0","0.000000e+00"," 0.00000","0","0","  0.0000","0.000000","0","0"," 0.0000","0.00000","    0.00","0","     0.000","0","0","0","0","0","0","0","0","0","    0.00","0","0","    0.0","0","    0.00","    0.00","0","      0","0","     0.00000","     0.00","     0.000","0","0","     0.00","0","0","     0.000","   0.000","0","0","     0.0","0","0.000000e+00","0","0","    0.0000","    0.00","0","      0.000","0.000000","0","0","0","    0.00","    0.000","0","0","  0.000000","0","   0.000","0","    0.00","0","   0.000","      0","    0.00","  0.0000","0","0","0","0","0","     0.0","0","0","0","0","  0.0000","0.000000","0","0","0.000000","0","    0.000","0","0","   0.000","0","   0.00000","0"
"Guinea-Bissau","    0.0000","    0.000","0","  0.0000","0","0","    0.0","0","0","  0.0000","     0.00000"," 0.00000","     0.00000","0","   0.000","      0.00","0","0","     0.00","0","    0.0"," 0.00000","    0.00","    0.0000","   0.0000","0","0","0","    0.0000","    0.00","    0.00"," 0.00000"," 0.00000","0","    0.0000","0","0","     0.000","0.000000e+00","   0.000000","0","0","0","     0.00000","   0.000","   0.000","    0.00","0","0","  0.000000","0","0.000000","0","0","0","0","0","0","0.000000e+00"," 0.00000","0","0","  0.0000","0.000000","0","0"," 0.0000","0.00000","    0.00","0","     0.000","0","0","0","0","0","0","0","0","0","    0.00","0","0","    0.0","0","    0.00","    0.00","0","      0","0","     0.00000","     0.00","     0.000","0","0","     0.00","0","0","     0.000","   0.000","0","0","     0.0","0","0.000000e+00","0","0","    0.0000","    0.00","0","      0.000","0.000000","0","0","0","    0.00","    0.000","0","0","  0.000000","0","   0.000","0","    0.00","0","   0.000","      0","    0.00","  0.0000","0","0","0","0","0","     0.0","0","0","0","0","  0.0000","0.000000","0","0","0.000000","0","    0.000","0","0","   0.000","0","   0.00000","0"
"Portugal","    0.0000","    0.000","0","  0.0000","0","0","    0.0","0","0","  0.0000","     0.00000"," 0.00000","     0.00000","0","   0.000","      0.00","0","0","     0.00","0","    0.0"," 0.00000","    0.00","    0.0000","   0.0000","0","0","0","    0.0000","    0.00","    0.00"," 0.00000"," 0.00000","0","    0.0000","0","0","     0.000","0.000000e+00","   0.000000","0","0","0","     0.00000","   0.000","   0.000","    0.00","0","0","  0.000000","0","0.000000","0","0","0","0","0","0","0.000000e+00"," 0.00000","0","0","  0.0000","0.000000","0","0"," 0.0000","0.00000","    0.00","0","     0.000","0","0","0","0","0","0","0","0","0","    0.00","0","0","    0.0","0","    0.00","    0.00","0","      0","0","     0.00000","     0.00","     0.000","0","0","     0.00","0","0","     0.000","   0.000","0","0","     0.0","0","0.000000e+00","0","0","    0.0000","    0.00","0","      0.000","0.000000","0","0","0","    0.00","    0.000","0","0","  0.000000","0","   0.000","0","    0.00","0","   0.000","      0","    0.00","  0.0000","0","0","0","0","0","     0.0","0","0","0","0","  0.0000","0.000000","0","0","0.000000","0","    0.000","0","0","   0.000","0","   0.00000","0"
"Poland","    0.0000","    0.000","0","  0.0000","0","0","    0.0","0","0","  0.0000","     0.00000"," 0.00000","     0.00000","0","   0.000","      0.00","0","0","     0.00","0","    0.0"," 0.00000","    0.00","    0.0000","   0.0000","0","0","0","    0.0000","    0.00","    0.00"," 0.00000"," 0.00000","0","    0.0000","0","0","     0.000","0.000000e+00","   0.000000","0","0","0","     0.00000","   0.000","   0.000","    0.00","0","0","  0.000000","0","0.000000","0","0","0","0","0","0","0.000000e+00"," 0.00000","0","0","  0.0000","0.000000","0","0"," 0.0000","0.00000","    0.00","0","     0.000","0","0","0","0","0","0","0","0","0","    0.00","0","0","    0.0","0","    0.00","    0.00","0","      0","0","     0.00000","     0.00","     0.000","0","0","     0.00","0","0","     0.000","   0.000","0","0","     0.0","0","0.000000e+00","0","0","    0.0000","    0.00","0","      0.000","0.000000","0","0","0","    0.00","    0.000","0","0","  0.000000","0","   0.000","0","    0.00","0","   0.000","      0","    0.00","  0.0000","0","0","0","0","0","     0.0","0","0","0","0","  0.0000","0.000000","0","0","0.000000","0","    0.000","0","0","   0.000","0","   0.00000","0"
"Philippines","    0.0000","    0.000","0","  0.0000","0","0","    0.0","0","0","  0.0000","     0.00000"," 0.00000","     0.00000","0","   0.000","      0.00","0","0","     0.00","0","    0.0"," 0.00000","    0.00","    0.0000","   0.0000","0","0","0","    0.0000","    0.00","    0.00"," 0.00000"," 0.00000","0","    0.0000","0","0","     0.000","0.000000e+00","   0.000000","0","0","0","     0.00000","   0.000","   0.000","    0.00","0","0","  0.000000","0","0.000000","0","0","0","0","0","0","0.000000e+00"," 0.00000","0","0","  0.0000","0.000000","0","0"," 0.0000","0.00000","    0.00","0","     0.000","0","0","0","0","0","0","0","0","0","    0.00","0","0","    0.0","0","    0.00","    0.00","0","      0","0","     0.00000","     0.00","     0.000","0","0","     0.00","0","0","     0.000","   0.000","0","0","     0.0","0","0.000000e+00","0","0","    0.0000","    0.00","0","      0.000","0.000000","0","0","0","    0.00","    0.000","0","0","  0.000000","0","   0.000","0","    0.00","0","   0.000","      0","    0.00","  0.0000","0","0","0","0","0","     0.0","0","0","0","0","  0.0000","0.000000","0","0","0.000000","0","    0.000","0","0","   0.000","0","   0.00000","0"
"Peru","    0.0000","    0.000","0","  0.0000","0","0","    0.0","0","0","  0.0000","     0.00000"," 0.00000","     0.00000","0","   0.000","      0.00","0","0","     0.00","0","    0.0"," 0.00000","    0.00","    0.0000","   0.0000","0","0","0","    0.0000","    0.00","    0.00"," 0.00000"," 0.00000","0","    0.0000","0","0","     0.000","0.000000e+00","   0.000000","0","0","0","     0.00000","   0.000","   0.000","    0.00","0","0","  0.000000","0","0.000000","0","0","0","0","0","0","0.000000e+00"," 0.00000","0","0","  0.0000","0.000000","0","0"," 0.0000","0.00000","    0.00","0","     0.000","0","0","0","0","0","0","0","0","0","    0.00","0","0","    0.0","0","    0.00","    0.00","0","      0","0","     0.00000","     0.00","     0.000","0","0","     0.00","0","0","     0.000","   0.000","0","0","     0.0","0","0.000000e+00","0","0","    0.0000","    0.00","0","      0.000","0.000000","0","0","0","    0.00","    0.000","0","0","  0.000000","0","   0.000","0","    0.00","0","   0.000","      0","    0.00","  0.0000","0","0","0","0","0","     0.0","0","0","0","0","  0.0000","0.000000","0","0","0.000000","0","    0.000","0","0","   0.000","0","   0.00000","0"
"Paraguay","    0.0000","    0.000","0","  0.0000","0","0","    0.0","0","0","  0.0000","     0.00000"," 0.00000","     0.00000","0","   0.000","      0.00","0","0","     0.00","0","    0.0"," 0.00000","    0.00","    0.0000","   0.0000","0","0","0","    0.0000","    0.00","    0.00"," 0.00000"," 0.00000","0","    0.0000","0","0","     0.000","0.000000e+00","   0.000000","0","0","0","     0.00000","   0.000","   0.000","    0.00","0","0","  0.000000","0","0.000000","0","0","0","0","0","0","0.000000e+00"," 0.00000","0","0","  0.0000","0.000000","0","0"," 0.0000","0.00000","    0.00","0","     0.000","0","0","0","0","0","0","0","0","0","    0.00","0","0","    0.0","0","    0.00","    0.00","0","      0","0","     0.00000","     0.00","     0.000","0","0","     0.00","0","0","     0.000","   0.000","0","0","     0.0","0","0.000000e+00","0","0","    0.0000","    0.00","0","      0.000","0.000000","0","0","0","    0.00","    0.000","0","0","  0.000000","0","   0.000","0","    0.00","0","   0.000","      0","    0.00","  0.0000","0","0","0","0","0","     0.0","0","0","0","0","  0.0000","0.000000","0","0","0.000000","0","    0.000","0","0","   0.000","0","   0.00000","0"
"Papua New Guinea","    0.0000","    0.000","0","  0.0000","0","0","    0.0","0","0","  0.0000","     0.00000"," 0.00000","     0.00000","0","   0.000","      0.00","0","0","     0.00","0","    0.0"," 0.00000","    0.00","    0.0000","   0.0000","0","0","0","    0.0000","    0.00","    0.00"," 0.00000"," 0.00000","0","    0.0000","0","0","     0.000","0.000000e+00","   0.000000","0","0","0","     0.00000","   0.000","   0.000","    0.00","0","0","  0.000000","0","0.000000","0","0","0","0","0","0","0.000000e+00"," 0.00000","0","0","  0.0000","0.000000","0","0"," 0.0000","0.00000","    0.00","0","     0.000","0","0","0","0","0","0","0","0","0","    0.00","0","0","    0.0","0","    0.00","    0.00","0","      0","0","     0.00000","     0.00","     0.000","0","0","     0.00","0","0","     0.000","   0.000","0","0","     0.0","0","0.000000e+00","0","0","    0.0000","    0.00","0","      0.000","0.000000","0","0","0","    0.00","    0.000","0","0","  0.000000","0","   0.000","0","    0.00","0","   0.000","      0","    0.00","  0.0000","0","0","0","0","0","     0.0","0","0","0","0","  0.0000","0.000000","0","0","0.000000","0","    0.000","0","0","   0.000","0","   0.00000","0"
"Czechia","    0.0000","    0.000","0","  0.0000","0","0","    0.0","0","0","  0.0000","     0.00000"," 0.00000","     0.00000","0","   0.000","      0.00","0","0","     0.00","0","    0.0"," 0.00000","    0.00","    0.0000","   0.0000","0","0","0","    0.0000","    0.00","    0.00"," 0.00000"," 0.00000","0","    0.0000","0","0","     0.000","0.000000e+00","   0.000000","0","0","0","     0.00000","   0.000","   0.000","    0.00","0","0","  0.000000","0","0.000000","0","0","0","0","0","0","0.000000e+00"," 0.00000","0","0","  0.0000","0.000000","0","0"," 0.0000","0.00000","    0.00","0","     0.000","0","0","0","0","0","0","0","0","0","    0.00","0","0","    0.0","0","    0.00","    0.00","0","      0","0","     0.00000","     0.00","     0.000","0","0","     0.00","0","0","     0.000","   0.000","0","0","     0.0","0","0.000000e+00","0","0","    0.0000","    0.00","0","      0.000","0.000000","0","0","0","    0.00","    0.000","0","0","  0.000000","0","   0.000","0","    0.00","0","   0.000","      0","    0.00","  0.0000","0","0","0","0","0","     0.0","0","0","0","0","  0.0000","0.000000","0","0","0.000000","0","    0.000","0","0","   0.000","0","   0.00000","0"
"Panama","    0.0000","    0.000","0","  0.0000","0","0","    0.0","0","0","  0.0000","     0.00000"," 0.00000","     0.00000","0","   0.000","      0.00","0","0","     0.00","0","    0.0"," 0.00000","    0.00","    0.0000","   0.0000","0","0","0","    0.0000","    0.00","    0.00"," 0.00000"," 0.00000","0","    0.0000","0","0","     0.000","0.000000e+00","   0.000000","0","0","0","     0.00000","   0.000","   0.000","    0.00","0","0","  0.000000","0","0.000000","0","0","0","0","0","0","0.000000e+00"," 0.00000","0","0","  0.0000","0.000000","0","0"," 0.0000","0.00000","    0.00","0","     0.000","0","0","0","0","0","0","0","0","0","    0.00","0","0","    0.0","0","    0.00","    0.00","0","      0","0","     0.00000","     0.00","     0.000","0","0","     0.00","0","0","     0.000","   0.000","0","0","     0.0","0","0.000000e+00","0","0","    0.0000","    0.00","0","      0.000","0.000000","0","0","0","    0.00","    0.000","0","0","  0.000000","0","   0.000","0","    0.00","0","   0.000","      0","    0.00","  0.0000","0","0","0","0","0","     0.0","0","0","0","0","  0.0000","0.000000","0","0","0.000000","0","    0.000","0","0","   0.000","0","   0.00000","0"
"Norway","    0.0000","    0.000","0","  0.0000","0","0","    0.0","0","0","  0.0000","     0.00000"," 0.00000","     0.00000","0","   0.000","      0.00","0","0","     0.00","0","    0.0"," 0.00000","    0.00","    0.0000","   0.0000","0","0","0","    0.0000","    0.00","    0.00"," 0.00000"," 0.00000","0","    0.0000","0","0","     0.000","0.000000e+00","   0.000000","0","0","0","     0.00000","   0.000","   0.000","    0.00","0","0","  0.000000","0","0.000000","0","0","0","0","0","0","0.000000e+00"," 0.00000","0","0","  0.0000","0.000000","0","0"," 0.0000","0.00000","    0.00","0","     0.000","0","0","0","0","0","0","0","0","0","    0.00","0","0","    0.0","0","    0.00","    0.00","0","      0","0","     0.00000","     0.00","     0.000","0","0","     0.00","0","0","     0.000","   0.000","0","0","     0.0","0","0.000000e+00","0","0","    0.0000","    0.00","0","      0.000","0.000000","0","0","0","    0.00","    0.000","0","0","  0.000000","0","   0.000","0","    0.00","0","   0.000","      0","    0.00","  0.0000","0","0","0","0","0","     0.0","0","0","0","0","  0.0000","0.000000","0","0","0.000000","0","    0.000","0","0","   0.000","0","   0.00000","0"
"Niger","    0.0000","    0.000","0","  0.0000","0","0","    0.0","0","0","  0.0000","     0.00000"," 0.00000","     0.00000","0","   0.000","      0.00","0","0","     0.00","0","    0.0"," 0.00000","    0.00","    0.0000","   0.0000","0","0","0","    0.0000","    0.00","    0.00"," 0.00000"," 0.00000","0","    0.0000","0","0","     0.000","0.000000e+00","   0.000000","0","0","0","     0.00000","   0.000","   0.000","    0.00","0","0","  0.000000","0","0.000000","0","0","0","0","0","0","0.000000e+00"," 0.00000","0","0","  0.0000","0.000000","0","0"," 0.0000","0.00000","    0.00","0","     0.000","0","0","0","0","0","0","0","0","0","    0.00","0","0","    0.0","0","    0.00","    0.00","0","      0","0","     0.00000","     0.00","     0.000","0","0","     0.00","0","0","     0.000","   0.000","0","0","     0.0","0","0.000000e+00","0","0","    0.0000","    0.00","0","      0.000","0.000000","0","0","0","    0.00","    0.000","0","0","  0.000000","0","   0.000","0","    0.00","0","   0.000","      0","    0.00","  0.0000","0","0","0","0","0","     0.0","0","0","0","0","  0.0000","0.000000","0","0","0.000000","0","    0.000","0","0","   0.000","0","   0.00000","0"
"Nicaragua","    0.0000","    0.000","0","  0.0000","0","0","    0.0","0","0","  0.0000","     0.00000"," 0.00000","     0.00000","0","   0.000","      0.00","0","0","     0.00","0","    0.0"," 0.00000","    0.00","    0.0000","   0.0000","0","0","0","    0.0000","    0.00","    0.00"," 0.00000"," 0.00000","0","    0.0000","0","0","     0.000","0.000000e+00","   0.000000","0","0","0","     0.00000","   0.000","   0.000","    0.00","0","0","  0.000000","0","0.000000","0","0","0","0","0","0","0.000000e+00"," 0.00000","0","0","  0.0000","0.000000","0","0"," 0.0000","0.00000","    0.00","0","     0.000","0","0","0","0","0","0","0","0","0","    0.00","0","0","    0.0","0","    0.00","    0.00","0","      0","0","     0.00000","     0.00","     0.000","0","0","     0.00","0","0","     0.000","   0.000","0","0","     0.0","0","0.000000e+00","0","0","    0.0000","    0.00","0","      0.000","0.000000","0","0","0","    0.00","    0.000","0","0","  0.000000","0","   0.000","0","    0.00","0","   0.000","      0","    0.00","  0.0000","0","0","0","0","0","     0.0","0","0","0","0","  0.0000","0.000000","0","0","0.000000","0","    0.000","0","0","   0.000","0","   0.00000","0"
"New Zealand","    0.0000","    0.000","0","  0.0000","0","0","    0.0","0","0","  0.0000","     0.00000"," 0.00000","     0.00000","0","   0.000","      0.00","0","0","     0.00","0","    0.0"," 0.00000","    0.00","    0.0000","   0.0000","0","0","0","    0.0000","    0.00","    0.00"," 0.00000"," 0.00000","0","    0.0000","0","0","     0.000","0.000000e+00","   0.000000","0","0","0","     0.00000","   0.000","   0.000","    0.00","0","0","  0.000000","0","0.000000","0","0","0","0","0","0","0.000000e+00"," 0.00000","0","0","  0.0000","0.000000","0","0"," 0.0000","0.00000","    0.00","0","     0.000","0","0","0","0","0","0","0","0","0","    0.00","0","0","    0.0","0","    0.00","    0.00","0","      0","0","     0.00000","     0.00","     0.000","0","0","     0.00","0","0","     0.000","   0.000","0","0","     0.0","0","0.000000e+00","0","0","    0.0000","    0.00","0","      0.000","0.000000","0","0","0","    0.00","    0.000","0","0","  0.000000","0","   0.000","0","    0.00","0","   0.000","      0","    0.00","  0.0000","0","0","0","0","0","     0.0","0","0","0","0","  0.0000","0.000000","0","0","0.000000","0","    0.000","0","0","   0.000","0","   0.00000","0"
"The former Yugoslav Republic of Macedonia","    0.0000","    0.000","0","  0.0000","0","0","    0.0","0","0","  0.0000","     0.00000"," 0.00000","     0.00000","0","   0.000","      0.00","0","0","     0.00","0","    0.0"," 0.00000","    0.00","    0.0000","   0.0000","0","0","0","    0.0000","    0.00","    0.00"," 0.00000"," 0.00000","0","    0.0000","0","0","     0.000","0.000000e+00","   0.000000","0","0","0","     0.00000","   0.000","   0.000","    0.00","0","0","  0.000000","0","0.000000","0","0","0","0","0","0","0.000000e+00"," 0.00000","0","0","  0.0000","0.000000","0","0"," 0.0000","0.00000","    0.00","0","     0.000","0","0","0","0","0","0","0","0","0","    0.00","0","0","    0.0","0","    0.00","    0.00","0","      0","0","     0.00000","     0.00","     0.000","0","0","     0.00","0","0","     0.000","   0.000","0","0","     0.0","0","0.000000e+00","0","0","    0.0000","    0.00","0","      0.000","0.000000","0","0","0","    0.00","    0.000","0","0","  0.000000","0","   0.000","0","    0.00","0","   0.000","      0","    0.00","  0.0000","0","0","0","0","0","     0.0","0","0","0","0","  0.0000","0.000000","0","0","0.000000","0","    0.000","0","0","   0.000","0","   0.00000","0"
"New Caledonia","    0.0000","    0.000","0","  0.0000","0","0","    0.0","0","0","  0.0000","     0.00000"," 0.00000","     0.00000","0","   0.000","      0.00","0","0","     0.00","0","    0.0"," 0.00000","    0.00","    0.0000","   0.0000","0","0","0","    0.0000","    0.00","    0.00"," 0.00000"," 0.00000","0","    0.0000","0","0","     0.000","0.000000e+00","   0.000000","0","0","0","     0.00000","   0.000","   0.000","    0.00","0","0","  0.000000","0","0.000000","0","0","0","0","0","0","0.000000e+00"," 0.00000","0","0","  0.0000","0.000000","0","0"," 0.0000","0.00000","    0.00","0","     0.000","0","0","0","0","0","0","0","0","0","    0.00","0","0","    0.0","0","    0.00","    0.00","0","      0","0","     0.00000","     0.00","     0.000","0","0","     0.00","0","0","     0.000","   0.000","0","0","     0.0","0","0.000000e+00","0","0","    0.0000","    0.00","0","      0.000","0.000000","0","0","0","    0.00","    0.000","0","0","  0.000000","0","   0.000","0","    0.00","0","   0.000","      0","    0.00","  0.0000","0","0","0","0","0","     0.0","0","0","0","0","  0.0000","0.000000","0","0","0.000000","0","    0.000","0","0","   0.000","0","   0.00000","0"
"Netherlands Antilles (former)","    0.0000","    0.000","0","  0.0000","0","0","    0.0","0","0","  0.0000","     0.00000"," 0.00000","     0.00000","0","   0.000","      0.00","0","0","     0.00","0","    0.0"," 0.00000","    0.00","    0.0000","   0.0000","0","0","0","    0.0000","    0.00","    0.00"," 0.00000"," 0.00000","0","    0.0000","0","0","     0.000","0.000000e+00","   0.000000","0","0","0","     0.00000","   0.000","   0.000","    0.00","0","0","  0.000000","0","0.000000","0","0","0","0","0","0","0.000000e+00"," 0.00000","0","0","  0.0000","0.000000","0","0"," 0.0000","0.00000","    0.00","0","     0.000","0","0","0","0","0","0","0","0","0","    0.00","0","0","    0.0","0","    0.00","    0.00","0","      0","0","     0.00000","     0.00","     0.000","0","0","     0.00","0","0","     0.000","   0.000","0","0","     0.0","0","0.000000e+00","0","0","    0.0000","    0.00","0","      0.000","0.000000","0","0","0","    0.00","    0.000","0","0","  0.000000","0","   0.000","0","    0.00","0","   0.000","      0","    0.00","  0.0000","0","0","0","0","0","     0.0","0","0","0","0","  0.0000","0.000000","0","0","0.000000","0","    0.000","0","0","   0.000","0","   0.00000","0"
"Netherlands","    0.0000","    0.000","0","  0.0000","0","0","    0.0","0","0","  0.0000","     0.00000"," 0.00000","     0.00000","0","   0.000","      0.00","0","0","     0.00","0","    0.0"," 0.00000","    0.00","    0.0000","   0.0000","0","0","0","    0.0000","    0.00","    0.00"," 0.00000"," 0.00000","0","    0.0000","0","0","     0.000","0.000000e+00","   0.000000","0","0","0","     0.00000","   0.000","   0.000","    0.00","0","0","  0.000000","0","0.000000","0","0","0","0","0","0","0.000000e+00"," 0.00000","0","0","  0.0000","0.000000","0","0"," 0.0000","0.00000","    0.00","0","     0.000","0","0","0","0","0","0","0","0","0","    0.00","0","0","    0.0","0","    0.00","    0.00","0","      0","0","     0.00000","     0.00","     0.000","0","0","     0.00","0","0","     0.000","   0.000","0","0","     0.0","0","0.000000e+00","0","0","    0.0000","    0.00","0","      0.000","0.000000","0","0","0","    0.00","    0.000","0","0","  0.000000","0","   0.000","0","    0.00","0","   0.000","      0","    0.00","  0.0000","0","0","0","0","0","     0.0","0","0","0","0","  0.0000","0.000000","0","0","0.000000","0","    0.000","0","0","   0.000","0","   0.00000","0"
